"date","Max","Mean","Med","Min","#people"
2017-06-24,28,16.925,17.5,4.9,1
2017-06-26,28,18.3833333333333,18.5,3.1,2
2017-06-27,25,16.1333333333333,16,7.5,12
2017-06-28,33,17.3625,16,4.6,1
2017-06-29,56,24.3958333333333,14.5,4.9,12
2017-06-30,48,11.6083333333333,8.95,0.4,11
2017-07-03,29,14.58,12.5,2.9,7
2017-07-04,18,8.95416666666667,10.5,0.2,15
2017-07-05,40,15.4416666666667,13.85,0.2,4
2017-07-06,40,18.2541666666667,15.5,4.2,14
2017-07-07,17,9.31666666666667,8.75,3.2,12
2017-07-10,20,11.8958333333333,10.5,4.3,10
2017-07-11,27,12.3541666666667,11,3.7,24
2017-07-12,57,14.775,12,0.7,1
2017-07-13,80,25.5666666666667,16,7.6,11
2017-07-14,74,25.7333333333333,18,6.6,8
2017-07-17,98,33.925,28,0.9,3
2017-07-18,95,39.35,32,5.4,17
2017-07-19,75,33.5083333333333,28.5,9.2,2
2017-07-20,71,43.0416666666667,37.5,29,12
2017-07-21,90,40.1416666666667,40.5,6.4,12
2017-07-24,58,22.7875,19,5.7,5
2017-07-25,42,22.2625,17.5,5,30
2017-07-26,29,17.1291666666667,18,1,3
2017-07-27,41,20.575,21.5,5.2,9
2017-07-28,63,35.625,34.5,14,4
2017-08-01,21,7.69444444444444,4.7,0,15
2017-08-02,32,17.2,18,0.7,1
2017-08-03,37,18.6291666666667,16.5,3.3,8
2017-08-04,44,20.2958333333333,21.5,3.9,11
2017-08-07,25,15.8208333333333,14,8.7,2
2017-08-08,24,13.6541666666667,14.5,1,21
2017-08-09,21,14.075,15.5,2.5,2
2017-08-10,30,18.0590909090909,18.5,7.4,11
2017-08-11,28,19.825,20.5,4.8,8
2017-08-14,20,12.2041666666667,12.5,1.9,3
2017-08-15,25,14.9583333333333,16,1.1,13
2017-08-16,29,16.4041666666667,14,6.8,1
2017-08-17,63,28.9833333333333,29,5.4,8
2017-08-18,96,37.4583333333333,25,15,10
2017-08-19,55,24.5041666666667,20.5,3.8,1
2017-08-21,65,28.4583333333333,19,10,3
2017-08-22,34,19.1125,21.5,2.7,15
2017-08-23,27,17.8458333333333,19,7.3,1
2017-08-24,56,22.0958333333333,20.5,6.2,8
2017-08-25,84,34.9583333333333,28,15,11
2017-08-28,70,25.9875,18,1.6,3
2017-08-29,73,30.0458333333333,33,6.6,9
2017-08-30,64,38.6666666666667,38,12,6
2017-08-31,40,25.5416666666667,25.5,12,7
2017-09-01,38,13.45,9.25,2.3,7
2017-09-04,42,22.3375,18,8.1,4
2017-09-05,68,30.825,24.5,9.8,8
2017-09-06,34,18.4708333333333,17.5,9.3,2
2017-09-07,26,17.875,17,6,11
2017-09-08,30,17.1583333333333,19,1.3,6
2017-09-11,49,18.5416666666667,11.5,2.8,8
2017-09-12,53,28,36,1,17
2017-09-13,77,45.6666666666667,40,18,2
2017-09-14,83,45.375,42,12,12
2017-09-15,64,48.9166666666667,48.5,31,15
2017-09-18,113,76.7083333333333,75,39,14
2017-09-19,83,51.125,54,16,13
2017-09-20,105,44.2916666666667,41,13,2
2017-09-21,72,47.4166666666667,50.5,22,6
2017-09-22,83,54.0416666666667,48.5,27,10
2017-09-25,49,23.7,23,5.5,4
2017-09-26,69,27.8666666666667,24.5,4.6,13
2017-09-27,45,23.3842105263158,24,3.8,3
2017-09-28,35,21.5,21.5,10,8
2017-09-29,81,33.5125,26,4.6,12
2017-10-02,78,41.9916666666667,37.5,9.8,9
2017-10-03,85,35.8541666666667,33,1.6,14
2017-10-05,96,47.8833333333333,40,8.2,9
2017-10-06,87,47.375,50.5,18,13
2017-10-11,75,44.7083333333333,42.5,31,6
2017-10-12,93,43,34.5,11,10
2017-10-13,21,11.8583333333333,12,2.9,14
2017-10-16,83,27.3583333333333,16.5,1.3,4
2017-10-17,86,36.925,22.5,4.3,9
2017-10-18,84,32.9166666666667,27.5,1.2,2
2017-10-19,86,36.6041666666667,22.5,1.1,15
2017-10-20,95,37.5125,28.5,6.4,7
2017-10-23,103,50.1363636363636,40,24,8
2017-10-24,109,52.3333333333333,45,11,18
2017-10-25,125,54.9583333333333,49,14,2
2017-10-26,108,48.2875,41.5,8.9,9
2017-10-27,97,46.1208333333333,40,9.9,6
