"date","Max","Mean","Med","Min","#people"
2017-05-02,43,31.5,31,23,34
2017-05-03,54,33.3333333333333,28.5,0,2
2017-05-04,49,32,35,2,14
2017-05-05,71,41.7083333333333,40.5,22,12
2017-05-06,58,32.6666666666667,35,5,NA
2017-05-07,61,41.25,46.5,7,NA
2017-05-08,47,21.8333333333333,23,2,3
2017-05-09,20,12.0833333333333,12,1,13
2017-05-10,44,22.625,19,15,5
2017-05-11,51,28.5,26.5,15,8
2017-05-12,24,12.3181818181818,13,4,9
2017-05-13,26,14.7916666666667,16,5,NA
2017-05-14,29,14.5416666666667,15,2,NA
2017-05-15,27,19.3333333333333,20.5,6,6
2017-05-16,29,15.5217391304348,15,3,16
2017-05-17,36,16.5,16,2,1
2017-05-18,57,32,33,12,4
2017-05-19,68,34.125,36.5,0,9
2017-05-20,39,21.375,22.5,8,NA
2017-05-21,49,26.0416666666667,27.5,6,NA
2017-05-22,23,14.4166666666667,13.5,3,9
2017-05-23,29,15.3333333333333,13.5,7,12
2017-05-24,19,7,6,1,2
2017-05-25,22,10.6086956521739,11,0,11
2017-05-26,45,25.25,23.5,3,10
2017-05-27,40,26.9583333333333,26,14,NA
2017-05-28,61,35.9583333333333,39.5,12,NA
2017-05-29,51,24.375,21,13,1
2017-05-30,34,16.6666666666667,16.5,1,NA
2017-05-31,15,8.04166666666667,8,1,2
2017-06-01,17,8.56521739130435,7,0,15
2017-06-02,17,8.875,9,1,7
2017-06-03,21,12.0833333333333,12.5,1,NA
2017-06-04,14,4.625,3.5,1,NA
2017-06-05,30,11.5,11,0,4
2017-06-06,17,9.875,11,1,10
2017-06-07,20,11.125,12.5,1,6
2017-06-08,24,13.75,13,1,10
2017-06-09,28,10.7083333333333,11.5,1,13
2017-06-10,20,11.75,12.5,2,NA
2017-06-11,20,8.08333333333333,7,1,NA
2017-06-12,28,8.29166666666667,7,0,7
2017-06-13,14,6.72727272727273,6.5,1,14
2017-06-14,19,7.95833333333333,7,1,4
2017-06-15,20,9.95833333333333,9.5,4,15
2017-06-16,28,11.9583333333333,11,4,3
2017-06-17,18,8.83333333333333,7.5,1,NA
2017-06-18,13,5.75,5,1,NA
2017-06-19,21,8.30434782608696,8,1,3
2017-06-20,14,9.20833333333333,10,2,21
2017-06-21,14,8.375,9,1,8
2017-06-22,19,7.16666666666667,6,1,5
2017-06-23,18,9.16666666666667,9,1,11
2017-06-24,18,8.91666666666667,8,1,1
2017-06-25,11,2.83333333333333,1.5,1,NA
2017-06-26,12,5.5,6,1,2
2017-06-27,19,9.08695652173913,8,1,12
2017-06-28,16,8.45833333333333,8,1,1
2017-06-29,29,14.5,16,3,12
2017-06-30,28,9.875,9,1,11
2017-07-01,15,7.29166666666667,7,1,NA
2017-07-02,15,6.625,6.5,1,NA
2017-07-03,17,10.25,10.5,4,7
2017-07-04,12,6.20833333333333,6,1,15
2017-07-05,17,7.29166666666667,7,1,4
2017-07-06,26,15.0454545454545,15,1,14
2017-07-07,16,8.41666666666667,8,1,12
2017-07-08,20,8.91666666666667,8,1,NA
2017-07-09,16,8.41666666666667,9.5,1,NA
2017-07-10,17,7.20833333333333,8,1,10
2017-07-11,17,7.09090909090909,5.5,1,24
2017-07-12,23,10.375,10.5,1,1
2017-07-13,20,10.5416666666667,10,1,11
2017-07-14,25,13.375,13.5,2,8
2017-07-15,33,20.5,20,8,NA
2017-07-16,26,16.4583333333333,20,1,NA
2017-07-17,39,17.5833333333333,20.5,1,3
2017-07-18,41,23.75,21.5,12,17
2017-07-19,35,20.5652173913043,21,6,2
2017-07-20,33,23.5833333333333,26.5,3,12
2017-07-21,34,23.6666666666667,24.5,9,12
2017-07-22,38,22,21,7,NA
2017-07-23,22,14,15.5,1,NA
2017-07-24,31,11,9,1,5
2017-07-25,20,11.5416666666667,14.5,1,30
2017-07-26,27,12.4347826086957,11,3,3
2017-07-27,16,9,9,1,9
2017-07-28,58,30,26.5,13,4
2017-07-29,25,14.25,14.5,4,NA
2017-07-30,15,6.25,6,1,NA
2017-07-31,23,11.4583333333333,11.5,1,NA
2017-08-01,19,11.1428571428571,11,2,15
2017-08-02,32,12.2916666666667,10.5,1,1
2017-08-03,32,17.3333333333333,15.5,5,8
2017-08-04,29,16.5833333333333,17,8,11
2017-08-05,28,16.125,15.5,7,NA
2017-08-06,18,10.7083333333333,10.5,2,NA
2017-08-07,18,8.54166666666667,7.5,1,2
2017-08-08,25,8.95833333333333,9,1,21
2017-08-09,20,11.7916666666667,11.5,4,2
2017-08-10,16,9.78947368421053,10,2,11
2017-08-11,23,11.75,12.5,1,8
2017-08-12,16,8.54166666666667,8,1,NA
2017-08-13,14,7.04166666666667,7,2,NA
2017-08-14,10,5.29166666666667,5.5,1,3
2017-08-15,16,7.39130434782609,7,1,13
2017-08-16,19,9.41666666666667,9,1,1
2017-08-17,24,14.5652173913043,16,4,8
2017-08-18,43,21.5833333333333,19,10,10
2017-08-19,29,15.2083333333333,17,1,1
2017-08-20,20,10.125,8.5,1,NA
2017-08-21,30,21,22.5,10,3
2017-08-22,35,14.5833333333333,11.5,1,15
2017-08-23,17,8.375,9.5,1,1
2017-08-24,22,10.1666666666667,10,1,8
2017-08-25,31,15.2173913043478,16,5,11
2017-08-26,51,28.6666666666667,27.5,11,NA
2017-08-27,31,15.75,16.5,1,NA
2017-08-28,24,10.375,10,1,3
2017-08-29,38,15,13,7,9
2017-08-30,29,19.9130434782609,22,4,6
2017-08-31,50,23.9583333333333,26,5,7
2017-09-01,32,17.4166666666667,16,1,7
2017-09-02,36,19.8333333333333,19.5,6,NA
2017-09-03,20,12.7083333333333,13,4,NA
2017-09-04,24,12.9583333333333,12,5,4
2017-09-05,38,18.4090909090909,18.5,5,8
2017-09-06,33,18.2083333333333,17,6,2
2017-09-07,20,9.79166666666667,10,1,11
2017-09-08,21,11.875,12,4,6
2017-09-09,23,11,10,4,NA
2017-09-10,21,12.2916666666667,12,3,NA
2017-09-11,25,13.9166666666667,13,3,8
2017-09-12,46,22.25,21.5,12,17
2017-09-13,36,25.4166666666667,26,15,2
2017-09-14,31,23.1739130434783,25,8,12
2017-09-15,23,13.25,13,7,15
2017-09-16,28,19.8333333333333,21.5,9,NA
2017-09-17,46,30.625,29.5,12,NA
2017-09-18,47,24.9583333333333,24.5,8,14
2017-09-19,40,25.4166666666667,26,6,13
2017-09-20,64,37.9583333333333,38,21,2
2017-09-21,40,25.7391304347826,26,12,6
2017-09-22,54,35.625,36,13,10
2017-09-23,56,30.8333333333333,34.5,7,NA
2017-09-24,65,29.0833333333333,19.5,1,NA
2017-09-25,25,12.0833333333333,12,1,4
2017-09-26,34,14.4545454545455,11,1,13
2017-09-27,39,19.1666666666667,15.5,2,3
2017-09-28,37,14,13.5,4,8
2017-09-29,45,17.9583333333333,17.5,3,12
2017-09-30,41,19.7916666666667,16.5,2,NA
2017-10-01,27,18.25,19,4,NA
2017-10-02,37,29.9583333333333,30,18,9
2017-10-03,41,24,23,13,14
2017-10-04,56,41.7083333333333,39.5,29,NA
2017-10-05,56,36.9166666666667,42.5,17,9
2017-10-06,46,24.5652173913043,22,6,13
2017-10-07,38,28.5416666666667,29,17,NA
2017-10-08,50,31,28.5,18,NA
2017-10-09,32,19.75,19.5,11,NA
2017-10-10,30,16.125,15,10,NA
2017-10-11,35,16.1666666666667,17,1,6
2017-10-12,39,23.0833333333333,24,11,10
