"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","patient"
2017-11-21,3.8,0.4479,33.5417,28.7917,75.5417,22.3333,2.8208,3
2017-11-22,2.9083,0.4362,24.35,44.3333,92.9583,18.7917,1.7833,4
2017-11-23,3.3708,0.5596,33.5,41.0417,108.0833,21.4583,1.0875,9
2017-11-24,3.7542,0.515,19.0083,32.7083,80.125,27.875,2.6958,8
2017-11-25,3.7042,0.4504,28.3167,30.5417,66.8333,22.6667,2.0458,NA
2017-11-26,2.9625,0.4004,24.4125,29.9583,64.125,18.3167,1.7667,NA
2017-11-27,2.6208,0.4325,31.5875,31.9583,67.8333,19.2917,2.1708,5
2017-11-28,3.7,0.5858,37.8667,43.875,96.0833,23.8417,2.6,9
2017-11-29,2.5833,0.4592,32.6792,52.9583,97.4583,18.6208,1.9708,3
2017-11-30,2.3583,0.4738,32.75,64.25,108.25,18.4583,0.8042,13
2017-12-01,3.0792,0.4642,24.8833,29.4583,94.9583,21.0417,1.2292,11
2017-12-02,3.8542,0.5079,22.125,35.0833,86.5833,22.8333,2.0458,NA
2017-12-03,3.7208,0.4762,25.5208,41.3333,75.3333,18.1667,1.5417,NA
2017-12-04,2.9667,0.4504,30.1208,33.5,32.1053,18.9583,2.2708,4
2017-12-05,3.4417,0.5525,31.1417,44.9583,65.3478,23.5833,2.4708,16
2017-12-06,4.1292,0.5762,24.0167,43.5417,83.5833,29,2.8667,2
2017-12-07,3.0417,0.4262,25.7167,23.9167,47.4583,22.625,1.5542,7
2017-12-08,2.5792,0.4604,25.4583,37.8333,65.25,20.6625,1.8333,9
2017-12-09,3.0208,0.5854,16.8458,42.375,70.7083,26.0417,3.7625,NA
2017-12-10,2.7333,0.5292,28.0792,38.9167,65.5,19.75,2.3167,NA
2017-12-11,3.8292,0.6421,28.7,56.375,106.2917,25.9167,2.2875,8
2017-12-12,4.1042,0.6075,14.7875,43.375,89.0455,30.1667,4.7542,15
2017-12-13,4.1792,0.5275,26.4417,33.5,65.7083,25.3333,2.9333,3
2017-12-14,3.8083,0.5425,30.4833,40.0833,88.6667,26.7542,3.5375,11
2017-12-15,3.2167,0.4938,32.4083,37.8333,85.25,22.25,2.8833,9
2017-12-16,1.4375,0.3858,26,32.375,87.375,14.4167,1.1125,NA
2017-12-17,2.775,0.4892,26.0417,27,65.7917,16.875,1.3333,NA
2017-12-18,3.0583,0.4462,20.0708,26.2917,71.25,21.7083,3.3375,4
2017-12-19,2.9,0.375,23.7375,24.8333,67.4167,19.875,1.6292,16
2017-12-20,3.4125,0.4288,26,31.0833,89.0417,19,2.0833,2
2017-12-21,3.65,0.425,36.8083,26.4167,80.8333,19.3333,2.7792,6
2017-12-22,4.0875,0.5775,40.8083,50.2083,102.0833,23.0083,2.7958,6
2017-12-23,3.15,0.4246,48.0417,49,95.7083,16.3458,0.6875,NA
2017-12-24,2.9708,0.5038,41.9583,62.7917,116.3333,16.5417,1.4583,NA
2017-12-25,4.1083,0.6908,34.8333,58.6667,122,22.8667,1.8083,2
2017-12-26,4.6083,0.745,32.8167,65.25,146.625,28.875,4.3208,21
2017-12-27,3.9875,0.5192,38.25,44.5833,97.5833,24.875,2.6792,3
2017-12-28,4.0125,0.4233,38.3708,41.25,92.8333,18.7708,1.7625,10
2017-12-29,2.8167,0.3642,33.875,39.7083,101.1667,17.125,1.45,9
2017-12-30,2.8792,0.4104,34.75,37.75,81.375,17.7083,1.0875,NA
2017-12-31,2.5875,0.6833,32.2917,68.9167,134.2917,18.3167,1.3208,NA
