"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","patient","allergy","hives","RH","TEMP","rain","WS_HR","WWIND","WIND","time"
2017-01-03,4.47976641414141,0.613854166666667,28.1302083333333,53.6832729468599,99.0320048309179,24.9759424603175,6.13571428571429,10,4,6,79.7604166666667,21.8854166666667,0,1.15138888888889,1.44791666666667,1.44791666666667,1
2017-01-04,5.26909722222222,0.596770833333333,29.9048611111111,49.6041666666667,97.9201388888889,25.0692330917874,5.27083333333333,0,0,0,77.3090277777778,22.4930555555556,0.00138888888888889,1.13263888888889,1.46736111111111,1.46736111111111,2
2017-01-05,3.10520833333333,0.511840277777778,28.896875,41.6215277777778,78.5659722222222,20.7912741545894,4.19722222222222,10,6,4,76.5694444444444,22.5138888888889,0,1.17708333333333,1.86875,1.86875,3
2017-01-06,4.41736111111111,0.517777777777778,25.0725694444444,47.7131642512077,81.3949275362319,22.0717803030303,5.97222222222222,8,3,5,74.9375,22.75,0,1.19236111111111,1.728125,1.728125,4
2017-01-09,5.61805555555556,0.788055555555556,29.70625,43.0531400966184,102.222675120773,26.2570501207729,6.92013888888889,3,3,0,75.1493055555556,22.3784722222222,0,1.23611111111111,1.68576388888889,1.68576388888889,5
2017-01-10,5.61111111111111,0.7834375,32.1059027777778,48.0218900966184,102.161067193676,27.0197916666667,6.6125,12,4,8,71.6423611111111,21.4305555555556,0.0277777777777778,1.23645833333333,1.76423611111111,1.76423611111111,6
2017-01-11,6.38817934782609,0.720078502415459,37.8737373737374,59.2465277777778,112.25,25.8891865079365,4.16071428571429,3,1,2,72.7673611111111,21.5868055555556,0,1.23784722222222,1.70069444444444,1.70069444444444,7
2017-01-12,5.09375,0.601493055555556,30.9,46.1215277777778,96.5868055555556,23.89650719148,4.35486111111111,6,3,3,76,21.7708333333333,0.000694444444444444,1.34375,2.046875,2.046875,8
2017-01-13,4.23715277777778,0.676319444444444,25.1413194444444,50.9097222222222,93.6006944444444,26.6809027777778,4.57638888888889,13,6,7,75.3194444444444,21.9583333333333,0,1.2875,2.18194444444444,2.18194444444444,9
2017-01-16,4.44652777777778,0.534340277777778,21.0319142512077,27.2465277777778,62.3645833333333,24.5920138888889,5.365625,1,1,0,70.1076388888889,19.4930555555556,0.000694444444444444,1.36458333333333,1.95416666666667,1.95416666666667,10
2017-01-17,4.77951388888889,0.540347222222222,25.0548611111111,35.0173611111111,79.5451388888889,26.8497023809524,6.52301587301587,15,7,8,71.4513888888889,20.1805555555556,0.000694444444444444,1.28472222222222,2.01527777777778,2.01527777777778,11
2017-01-18,4.10199275362319,0.487341485507246,31.0307449494949,34.7951388888889,74.6284722222222,22.7046296296296,3.40988669590643,3,0,3,74.3680555555556,21.6006944444444,0,1.28958333333333,2.05034722222222,2.05034722222222,12
2017-01-19,3.93576388888889,0.515590277777778,27.7527777777778,33.3159722222222,71.7951388888889,23.473097826087,4.69791666666667,5,3,2,72.4791666666667,23.0034722222222,0,1.26666666666667,1.98993055555556,1.98993055555556,13
2017-01-20,3.35763888888889,0.620694444444444,21.8673611111111,41.1287878787879,98.7013888888889,24.754797979798,4.23251262626263,12,8,4,72.9444444444444,20.0104166666667,0,1.29826388888889,2.55486111111111,2.55486111111111,14
2017-01-23,5.80590277777778,0.630416666666667,33.0535326086957,44.4236111111111,109.163194444444,28.0485795454545,4.34717261904762,2,0,2,62.8784722222222,19.6041666666667,0,1.20625,1.64791666666667,1.64791666666667,15
2017-01-24,5.478125,0.672569444444444,24.4354166666667,46.665404040404,109.724431818182,31.5874396135266,6.34207427536232,13,12,1,64.6875,19.6423611111111,0,1.13923611111111,1.96269625603865,1.96269625603865,16
2017-01-25,4.77569444444444,0.544861111111111,24.5871527777778,35.5996376811594,82.055404589372,27.5111111111111,5.58055555555556,6,0,6,68.6597222222222,19.1840277777778,0,1.25104166666667,2.26006944444444,2.26006944444444,17
2017-01-26,3.76041666666667,0.504131944444444,34.6628472222222,34.9651268115942,72.3769625603865,20.7097222222222,3.33368055555556,8,6,2,69.96875,18.3784722222222,0,1.32986111111111,2.25798611111111,2.25798611111111,18
2017-02-02,4.09484649122807,0.511640446224256,28.6402412280702,28.3159722222222,72.7152777777778,20.0015716374269,3.00122441520468,8,6,2,69.5853435672515,19.9082602339181,0,1.24128289473684,1.96215277777778,1.96215277777778,19
2017-02-03,4.03611111111111,0.5771875,30.1579861111111,39.0831823671498,87.1597222222222,22.8569444444444,3.83993055555556,6,3,3,70.0138888888889,20.1180555555556,0,1.32569444444444,1.99618055555556,1.99618055555556,20
2017-02-06,4.30034722222222,0.692951388888889,29.8,51.2364130434783,111.038496376812,23.2321510297483,6.03921783625731,2,1,1,73.9722222222222,21.28125,0.000694444444444444,1.28680555555556,1.78402777777778,1.78402777777778,21
2017-02-07,4.79722222222222,0.560495580808081,33.5648042929293,48.7897041062802,116.243055555556,23.3204861111111,4.62896825396825,24,11,13,67.625,20.8298611111111,0,1.36527777777778,1.73402777777778,1.73402777777778,22
2017-02-08,4.51440746753247,0.454444895382395,33.7723484848485,33.1669823232323,90.1698232323232,20.9088073025653,4.68148358585859,8,2,6,66.0050505050505,20.9902146464646,0,1.41243686868687,2.55549242424242,2.55549242424242,23
2017-02-09,2.75601851851852,0.402650462962963,26.6515046296296,21.4277146464646,70.5633417508418,17.148606078905,2.88668981481481,10,6,4,64.9768518518518,16.855787037037,0.000694444444444444,1.46967592592593,3.45185185185185,3.45185185185185,24
2017-02-10,5.13551136363636,0.668724747474748,28.4914141414141,50.6569444444444,91.7305555555556,26.0388257575758,3.4675,5,1,4,55.270202020202,15.5800505050505,0,1.22628787878788,1.98623106060606,1.98623106060606,25
2017-02-13,5.08715277777778,0.596128472222222,31.5076388888889,35.7104166666667,77.49375,25.2881944444444,5.12361111111111,2,1,1,64.3020833333333,19.1284722222222,0,1.30659722222222,1.759375,1.759375,26
2017-02-14,4.93645833333333,0.576805555555556,35.334375,39.5277777777778,95.5520833333333,25.6427083333333,4.66597222222222,17,10,7,64.2048611111111,19.6666666666667,0,1.38576388888889,1.828125,1.828125,27
2017-02-15,4.96944444444444,0.553125,35.5277777777778,39.6396437198068,90.2573973429952,25.4774305555556,4.13645833333333,1,1,0,63.5381944444444,19.6840277777778,0,1.32916666666667,1.77256944444444,1.77256944444444,28
2017-02-16,4.034375,0.535486111111111,37.6010416666667,39.1423611111111,74.2534722222222,23.7201388888889,4.30277777777778,2,2,0,59.1076388888889,20.6493055555556,0,1.27013888888889,1.68923611111111,1.68923611111111,29
