"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","RAIN","TEMP","RH","patient"
2017-03-21,3.5375,0.4992,43.2833,35.1667,74.3333,11.2042,2.0208,0,25.5417,73.1667,17
2017-03-22,4.55,0.5712,47.4458,37.1667,76.4583,10.3304,1.5565,0,23.8333,71.5,2
2017-03-23,3.0167,0.375,58.1667,26.4444,70,11.5611,0.3,0,26.2222,64.8333,10
2017-03-24,5.175,0.5246,54.5125,38.9167,81.1667,15.175,1.6542,0,24.7083,72.5833,11
2017-03-27,2.8083,0.5267,49.75,28.6667,65.125,13.225,1.9083,0,19.625,65.0833,3
2017-03-28,4.9708,0.4879,62.9583,35.375,84.75,18.6,0.695,0,19.3333,62.2917,14
2017-03-29,5.4292,0.5333,56.0125,50.2917,96.6667,19.225,1.6792,0,17.0833,58.1667,3
2017-03-30,5.9875,0.5771,53.4,52.1667,93.4167,18.7167,1.0375,0,14.4167,68.1667,12
2017-03-31,3.7833,0.3958,30.2083,29.5,60.4583,13.7625,2.2958,0,17.1667,70.5833,13
2017-04-05,3.9542,0.3908,64.3333,39.8333,74.9167,12.3583,0.2958,0,24.5833,59,3
2017-04-06,5.5125,0.4438,35.0208,30.9583,63.2917,22.1958,2.2083,0,26.2083,60.4167,12
2017-04-07,5.0917,0.3312,26.6667,14.6667,50.0417,14.35,1.2083,0,26.9167,69.25,11
2017-04-10,3.0542,0.2754,15.9792,15.75,33.5417,9.5542,1.1833,0,28.375,68.2917,5
2017-04-11,2.8542,0.2304,15.0208,12.25,31.25,8.1708,0.8333,0,28.4583,73.125,18
2017-04-12,4.1292,0.6554,7.9333,28.0417,49.7917,25.8875,5.925,1.0083,24.375,88.3333,3
2017-04-13,2.2333,0.6833,34.0417,42.4167,61.125,22.4375,1.725,0.3333,21.7917,84.25,10
2017-04-14,4.1708,0.6388,36.975,48.3182,76.3636,21.6955,1.5542,0.0833,24.7917,76.1667,20
2017-04-17,4.1583,0.2917,18.5333,17.2083,42.625,10.8375,1.8542,0.0417,28.5417,70.9583,5
2017-04-18,1.5762,0.1659,35.1905,15.2917,31.75,4.45,0.14,0,27.5833,78.375,27
2017-04-19,3.6292,0.3538,39.7958,31.5833,50.1667,14.2409,0.7833,0.1667,28.0417,74.6667,8
2017-04-20,2.725,0.2483,24.0083,19.0833,35.75,10.9042,1.6125,0,27.7917,73.25,7
2017-04-21,1.5333,0.1758,20.0833,16.125,27.8333,6.5292,0.3042,0,28.2083,72.5,9
2017-04-24,3.0125,0.5337,49.9167,28.0417,55,16.6333,0.4158,0.0083,24.3333,77.2917,7
2017-04-25,2.65,0.5208,62.9167,52.75,88.4167,19.3125,1.2792,0,26.1667,73.9583,18
2017-04-26,4.6458,0.4762,49.2083,43.9167,74.9167,15.8667,1.6208,0,27.7917,75.1667,5
2017-04-27,3.9875,0.3775,31.9167,34.25,56.375,17.9,2.1208,0,24.6667,78.2917,11
2017-04-28,2.9542,0.3558,55.5,18.9167,44.8333,17.2917,1.8833,0,22.1667,66.6667,9
2017-05-02,4.8458,0.3838,51.9167,31.5,62.7083,17.5125,1.8708,0,28.0417,65.5417,34
2017-05-03,5.3958,0.3575,46.75,33.3333,55.4583,12.6792,0.9458,0,28.375,72.7917,2
2017-05-04,5.0667,0.3212,41.5417,32,59.4583,14.0375,1.775,0,28.7917,72.75,14
2017-05-05,5.9042,0.3562,44.9917,41.7083,69.3333,13.8375,1.7333,0,29.0417,72.7083,12
2017-05-08,4.7667,0.3033,30.25,21.8333,54.5,14.5125,2.3417,0.0083,28.9167,69.625,3
2017-05-09,3.7375,0.1867,18.1042,12.0833,32.75,10.5,2.1375,0,28.9167,72.375,13
2017-05-10,3.9542,0.2921,42.6958,22.625,51.4167,13.0125,1.6083,0.0083,28.7917,70.4167,5
2017-05-11,3.6333,0.2938,47.5833,28.5,55.125,12.3917,1.2042,0,29.25,70.2917,8
2017-05-12,5.6542,0.2892,17.6042,12.3182,44.1818,14.3333,3.9292,0,30.2917,65.375,9
2017-05-15,4.7375,0.2683,53.0417,19.3333,43.125,12.6042,1.0417,0,28.5417,72.25,6
2017-05-16,4.3125,0.4454,16.5417,15.5217,43.913,24.0417,5.5,0.95,26.2917,81.2917,16
2017-05-17,3.3708,0.3729,52.3333,16.5,40.75,18,1.4583,0,25.7083,74.6667,1
