"","大寮","小港","仁武","左營","林園","前金","前鎮","屏東","恆春","美濃","復興","楠梓","鳳山","潮州","橋頭","date"
"1",31,42.75,30.2583333333333,26.4583333333333,24,27.8958333333333,41.8333333333333,24.8666666666667,1.87083333333333,11.3083333333333,48,27.7041666666667,37.875,12.1208333333333,22.725,2014-01-01
"2",33.875,34.3333333333333,29.4166666666667,31.5454545454545,19.6,31.7083333333333,42.0416666666667,24.4521739130435,1.65454545454545,10.4375,48.5416666666667,31.1583333333333,29.9583333333333,13.8875,26.7916666666667,2014-01-02
"3",25.125,32.875,33.0416666666667,24.7458333333333,22.0333333333333,27.375,37.3333333333333,16.6583333333333,2.33333333333333,9.525,42.2916666666667,22.5708333333333,31.1666666666667,12.8208333333333,21.7875,2014-01-03
"4",32.9166666666667,43.8333333333333,35.9583333333333,27.9583333333333,32.375,31,39.4166666666667,21.9583333333333,3.07916666666667,13.825,42.875,29.5833333333333,35.875,15.8791666666667,31.5416666666667,2014-01-04
"5",29.7083333333333,41.7916666666667,39.4166666666667,36.0416666666667,23.2916666666667,36.6666666666667,45,24.3208333333333,4.72083333333333,11.7875,48.125,32.6666666666667,39.9583333333333,12.8583333333333,30.0833333333333,2014-01-05
"6",32.5416666666667,49.625,39.875,31.2916666666667,20.0833333333333,32.5416666666667,42.1666666666667,25.975,2.05,11.5458333333333,48.625,33.125,41.5416666666667,10.4391304347826,33.625,2014-01-06
"7",37.4583333333333,39.4166666666667,39,43.2916666666667,20.5,42.1904761904762,39.5652173913044,25.7083333333333,1.575,12.8666666666667,43.4583333333333,38.4583333333333,34.4166666666667,15.9583333333333,32.8333333333333,2014-01-07
"8",23.4166666666667,32.4166666666667,34.3333333333333,25.825,20.9833333333333,25.8416666666667,36.4583333333333,16.6291666666667,1.00952380952381,10.1291666666667,40.625,25.6291666666667,29.1428571428571,11.025,21.1208333333333,2014-01-08
"9",28.3333333333333,35.2916666666667,27.6666666666667,21.25,31,24.0416666666667,28.5,21.5416666666667,2.7125,11.9083333333333,31.125,22.6666666666667,29.3333333333333,17.9166666666667,21,2014-01-09
"10",27.0833333333333,35.2916666666667,27.125,21.3333333333333,28.0416666666667,24.5,29.5416666666667,19.9125,1.74166666666667,13.45,32.25,23.0833333333333,30.6666666666667,17.7083333333333,23.7083333333333,2014-01-10
"11",22.875,30.9166666666667,27.25,15.7291666666667,19.4583333333333,19.3208333333333,28.4166666666667,18.2375,2.75833333333333,11.2041666666667,33.125,19.2916666666667,24.5,13.1333333333333,18.8875,2014-01-11
"12",17.5,26.2916666666667,22.125,14.8958333333333,23.9583333333333,19.6363636363636,27,13.4208333333333,2.38333333333333,10.0458333333333,29.625,16.25,20.3333333333333,12.3375,14.5416666666667,2014-01-12
"13",21.5416666666667,29.8260869565217,20.75,15.6666666666667,28.3333333333333,18.9166666666667,22.2272727272727,14.1375,2.375,10.4916666666667,24.5833333333333,17.6666666666667,25.9583333333333,13.9916666666667,16.1958333333333,2014-01-13
"14",22.875,28.7863636363636,22.9047619047619,19.1666666666667,31,22,24.6363636363636,16.3166666666667,3.20909090909091,12.4083333333333,26.7916666666667,21.6666666666667,27.4166666666667,17.6708333333333,19.2916666666667,2014-01-14
"15",24.1666666666667,29.5,25.4166666666667,20.75,20.2875,25.3578947368421,26.7083333333333,21,0.434782608695652,11.6583333333333,32.0833333333333,22.8208333333333,26.125,14.5458333333333,22,2014-01-15
"16",25.5416666666667,31.2916666666667,31.2916666666667,26.6416666666667,21.5416666666667,29.4166666666667,33.2916666666667,16.6875,1.15833333333333,10.3333333333333,35.2916666666667,26.5347826086957,28.8333333333333,13.3375,27.0416666666667,2014-01-16
"17",31.0833333333333,40.125,33.5,23.5875,22.8375,24.7083333333333,35.5833333333333,22.7217391304348,1.09583333333333,10.7333333333333,40.0833333333333,28.9583333333333,30.7083333333333,12.8208333333333,27.625,2014-01-17
"18",24.125,36.8333333333333,25.25,21.5416666666667,32.9166666666667,24.2916666666667,29.9583333333333,16.9583333333333,2.3375,10.0958333333333,32,23.1666666666667,29.6666666666667,16.5,22.3333333333333,2014-01-18
"19",19.6666666666667,28.2541666666667,21.4375,19.4875,20.3708333333333,21.8458333333333,26.25,14.95,1.6875,8.73333333333333,28.8333333333333,24.1958333333333,23.7083333333333,14.2083333333333,20.2208333333333,2014-01-19
"20",19.5333333333333,32.2083333333333,25.625,17.2916666666667,26.5416666666667,20.4166666666667,27.0416666666667,13.4791666666667,1.43333333333333,6.57916666666667,30.5833333333333,20.7916666666667,23.6583333333333,11.5217391304348,19.9583333333333,2014-01-20
"21",25.1666666666667,40.695652173913,27.625,24.1818181818182,37.5,26.375,30.4166666666667,17.1916666666667,3.18333333333333,9.17916666666667,31.9166666666667,25.2083333333333,32.7083333333333,17.1541666666667,25.25,2014-01-21
"22",31.7916666666667,39.5909090909091,29.9583333333333,18.455,35.125,25.2916666666667,29.7083333333333,20.5833333333333,1.35416666666667,11.6166666666667,32.3333333333333,24.5,36.375,18.5708333333333,23.75,2014-01-22
"23",25.4583333333333,32.9166666666667,30.2083333333333,24.3347826086957,22.875,31.0416666666667,35.4583333333333,21.8857142857143,0.9875,8.33333333333333,38.8333333333333,26.0416666666667,29.2916666666667,15.5958333333333,25.5416666666667,2014-01-23
"24",27.4166666666667,35.625,37.2916666666667,29.75,22.7541666666667,32.25,36.8333333333333,22.8541666666667,0.383333333333333,9.16666666666667,40.2916666666667,32.8333333333333,32.5714285714286,13.2625,27.9166666666667,2014-01-24
