"date","sum_allergy1"
2014-11-04,0.539444444444445
2014-11-05,0.521666666666667
2014-11-06,0.599458333333334
2014-11-07,0.521354166666667
2014-11-10,0.583402777777778
2014-11-11,0.671652892561983
2014-11-12,0.685
2014-11-13,0.7675
2014-11-14,0.790297619047619
2014-11-17,0.532669082125604
2014-11-18,0.637222222222222
2014-11-20,0.608101851851852
2014-11-21,0.552797619047619
2014-11-24,0.478333333333333
2014-11-25,0.534674736495389
2014-11-26,0.597083333333333
2014-11-27,0.705555555555556
2014-11-28,0.716428571428571
2014-12-01,0.654166666666667
2014-12-02,0.729884259259259
2014-12-03,0
2014-12-04,0.562972222222222
2014-12-05,0.65625
2014-12-08,0.615714285714286
2014-12-09,1.00268518518519
2014-12-11,0.600694444444445
2014-12-12,0.740902777777778
2014-12-15,0.6155
2014-12-16,0.532310606060606
2014-12-17,0
2014-12-18,0.744156314699793
2014-12-19,0.638583333333334
2014-12-22,0.697333333333333
2014-12-23,0.914375
2014-12-24,0.760416666666667
2014-12-25,0.890083333333333
2014-12-26,0.677333333333334
2014-12-29,0.521123188405797
2014-12-30,0.809852053140097
2014-12-31,0
2015-01-02,0.577083333333333
2015-01-05,0.852083333333333
2015-01-06,0.823437500000001
2015-01-07,0
2015-01-08,0.675138888888889
2015-01-09,0.659166666666667
2015-01-12,0.688333333333334
2015-01-13,0.5084375
2015-01-15,0.600729166666667
2015-01-16,0.529861111111111
2015-01-19,0.61825
2015-01-20,0.746770833333333
2015-01-21,0.514583333333333
2015-01-22,0.565753968253968
2015-01-23,0.820416666666667
2015-01-26,0.607083333333333
2015-01-27,0.668511904761905
2015-01-28,0
2015-01-29,0.540902777777778
2015-01-30,0.48
2015-02-02,0.422083333333333
2015-02-03,0.51375
2015-02-04,0
2015-02-05,0.706111111111111
2015-02-06,0.864999999999999
2015-02-09,0.501607142857143
2015-02-10,0.570717592592593
2015-02-11,0
2015-02-12,0.619953703703704
2015-02-13,0.776458333333334
2015-02-16,0.596666666666667
2015-02-17,0.877083333333334
2015-02-23,0.760535714285714
2015-02-24,0.716423611111111
2015-02-25,0.591666666666667
2015-02-26,0.548154761904762
2015-03-02,0.596833333333333
2015-03-03,0.596640625
2015-03-04,0
2015-03-05,0.808958333333333
2015-03-06,0.60125
2015-03-09,0.56
2015-03-10,0.672833333333333
2015-03-11,0
2015-03-12,0.656818181818182
2015-03-13,0.681333333333333
2015-03-16,0.464583333333333
2015-03-17,0.3896875
2015-03-19,0.416805555555556
2015-03-20,0.465297619047619
2015-03-23,0.664583333333333
2015-03-24,0.529679487179487
2015-03-25,0.45
2015-03-26,0.565119047619048
2015-03-27,0.520654761904762
2015-03-30,0.547083333333333
2015-03-31,0.416
2015-04-01,0
2015-04-02,0.364895833333333
2015-04-07,0.46
2015-04-08,0.451458333333334
2015-04-09,0.45265625
