"","大寮","小港","仁武","左營","林園","前金","前鎮","屏東","恆春","美濃","復興","楠梓","鳳山","潮州","橋頭","date"
"1",11.6125,10.2291666666667,7.92083333333333,4.875,11.2875,5.3625,9.35833333333333,4.70416666666667,1.52916666666667,2.10416666666667,7.92083333333333,4.05416666666667,9.45,3.675,5.20833333333333,2014-01-01
"2",9.45416666666667,4.57916666666667,5.87083333333333,5.94583333333333,6.4125,5.24166666666667,7.75833333333333,5.46666666666667,1.80434782608696,1.45416666666667,7.04583333333333,4.475,4.79166666666667,4.0125,4.85833333333333,2014-01-02
"3",7.22916666666667,6.525,7.44583333333333,2.96666666666667,9.72083333333333,4.85416666666667,7.57916666666667,4.3375,2.60416666666667,2.48333333333333,7.63333333333333,4.96666666666667,7.35833333333333,3.32083333333333,4.11666666666667,2014-01-03
"4",9.74166666666667,11.7958333333333,10.8458333333333,8.23333333333333,12.1583333333333,7.575,8.9875,6.15,3.4625,3.775,9.64166666666667,7.2625,11.8291666666667,4.09166666666667,8.45416666666667,2014-01-04
"5",7.05833333333333,13.4125,11.0666666666667,9.275,8.75,8.975,10.0625,5.75833333333333,6.61666666666667,2.79583333333333,10.1958333333333,7.34583333333333,12.4833333333333,3.825,8.57916666666667,2014-01-05
"6",9.99166666666667,14.025,10.7333333333333,5.62083333333333,7.70833333333333,6.85,8.3875,6.51666666666667,3.44583333333333,2.45,8.87083333333333,6.1625,9.7625,4.12173913043478,6.7,2014-01-06
"7",13.3625,7.875,7.51666666666667,8.40833333333333,10.8625,6.5,9.58260869565217,5.525,1.13333333333333,2.7625,8.2125,6.07916666666667,6.17083333333333,6.51666666666667,7.19583333333333,2014-01-07
"8",6.3875,4.23333333333333,8.45416666666667,4.6,8.75,5.3625,7.18333333333333,4.31666666666667,2.74090909090909,1.74583333333333,7.56666666666667,4.9875,7.60869565217391,3.675,3.99583333333333,2014-01-08
"9",7.51666666666667,5.05,6.875,3.57916666666667,14.2166666666667,4.1,4.05,4.99166666666667,1.17083333333333,2.30833333333333,4.45833333333333,4.3,8.44583333333333,4.02916666666667,4.05,2014-01-09
"10",5.23333333333333,8.47916666666667,6.375,5.36521739130435,11.4083333333333,4.85416666666667,5.40416666666667,3.94583333333333,1.11666666666667,1.4125,6.27083333333333,4.06666666666667,10.0291666666667,3.24583333333333,5.12916666666667,2014-01-10
"11",7.25416666666667,6.7,7.71666666666667,4.30833333333333,8.50416666666667,4.05833333333333,6.17083333333333,3.99583333333333,1.00833333333333,2.29166666666667,6.82916666666667,4.35833333333333,7.20416666666667,3.91666666666667,4.2125,2014-01-11
"12",5.6875,5.4625,8.53333333333333,3.1375,9.18333333333333,3.54090909090909,4.83333333333333,2.275,1.17916666666667,1.68333333333333,5.68333333333333,2.8125,5.37916666666667,3.1625,3.19583333333333,2014-01-12
"13",3.64166666666667,4.18333333333333,4.45,3.2375,9.70416666666667,3.33333333333333,3.22916666666667,2.525,1.02083333333333,1.5375,2.7625,3.03333333333333,7.7,3.17083333333333,3.35833333333333,2014-01-13
"14",4.34166666666667,9.09565217391304,4.79047619047619,3.77083333333333,11.3541666666667,3.83333333333333,3.60833333333333,1.95,1.3625,0.9875,3.89583333333333,3.7375,7.80833333333333,3.5625,3.85416666666667,2014-01-14
"15",5.79166666666667,7.17826086956522,9.83333333333333,4.25833333333333,8.08333333333333,4.43684210526316,5.11666666666667,4.02916666666667,1.3875,2.60416666666667,6.0375,3.38333333333333,6.4625,3.29166666666667,3.97083333333333,2014-01-15
"16",4.53333333333333,7.20416666666667,15.15,5.46666666666667,5.91666666666667,6.68333333333333,6.74583333333333,3.64166666666667,1.09166666666667,2.23333333333333,6.51666666666667,4.5375,7.22916666666667,4.16666666666667,5.95833333333333,2014-01-16
"17",6.425,8.5625,7.31666666666667,4.525,7.0875,4.55,6.04166666666667,4.4625,1.35416666666667,1.7375,6.08333333333333,5.46666666666667,7.975,3.62083333333333,5.95416666666667,2014-01-17
"18",5.425,7.46666666666667,7.27083333333333,5.55,12.8041666666667,5.43333333333333,5.85,3.54583333333333,2.15,2.4375,5.61666666666667,5.12083333333333,11.2041666666667,4.64166666666667,6.525,2014-01-18
"19",6.68333333333333,5.08333333333333,6.32083333333333,6.25833333333333,8.4,5.45833333333333,5.8375,4.30833333333333,2.10833333333333,3.55416666666667,5.95833333333333,6.57916666666667,7.79583333333333,5.45833333333333,6.1625,2014-01-19
"20",5.89166666666667,6.3125,7.35833333333333,4.13333333333333,10.6583333333333,4.37916666666667,4.5125,2.175,1.34166666666667,1.69166666666667,5.55833333333333,3.60416666666667,6.9375,3.56666666666667,4.40416666666667,2014-01-20
"21",5.90416666666667,7.72173913043478,6.88333333333333,6.4625,13.3666666666667,6.0875,5.4125,3.175,2.55416666666667,3.125,5.87083333333333,5.75416666666667,10.4958333333333,3.65833333333333,6.74583333333333,2014-01-21
"22",8.8375,9.175,7.84166666666667,5.90869565217391,16.85,5.42916666666667,5.40416666666667,3.60833333333333,1.25833333333333,2.60833333333333,5.27916666666667,4.90416666666667,11.2125,4.97083333333333,5.52916666666667,2014-01-22
"23",4.67083333333333,6.6,7.97083333333333,5.87916666666667,6.16666666666667,6.45,7.40833333333333,4.34166666666667,1.07083333333333,1.8375,8.6625,4.75416666666667,8.09166666666667,4.20416666666667,4.325,2014-01-23
"24",5.69166666666667,6.19166666666667,8.90416666666667,6.68333333333333,6.35416666666667,7.07916666666667,7.94583333333333,4.76666666666667,1.10416666666667,2.39583333333333,7.26666666666667,4.97916666666667,5.79583333333333,3.91666666666667,4.78333333333333,2014-01-24
