"","大寮","小港","仁武","左營","林園","前金","前鎮","屏東","恆春","美濃","復興","楠梓","鳳山","潮州","橋頭","date"
"1",4.6375,21.55,7.7375,3.4,2.97916666666667,5.48333333333333,22.0166666666667,2.3875,2.02916666666667,4.87916666666667,22.8333333333333,9.57916666666667,12.4208333333333,1.32083333333333,4.84583333333333,2014-01-01
"2",6.175,5.61666666666667,9.04583333333333,9.64347826086957,1.81666666666667,6.35416666666667,13.6333333333333,1.925,0.430434782608696,2.25416666666667,11.5833333333333,16.8833333333333,3.77916666666667,0.441666666666667,6.95416666666667,2014-01-02
"3",4.30833333333333,4.68333333333333,6.975,2.09583333333333,2.52916666666667,2.1625,5.45416666666667,2.37083333333333,0.991666666666667,2.91666666666667,8.15416666666667,5.02916666666667,5.03333333333333,0.795833333333333,3.34583333333333,2014-01-03
"4",5.09583333333333,10.85,7.45833333333333,2.64583333333333,4.80416666666667,4.12916666666667,8.15833333333333,2.50833333333333,0.779166666666667,2.97916666666667,8.99166666666667,4.74583333333333,7.4375,1.20416666666667,4.58333333333333,2014-01-04
"5",4.18333333333333,9.29166666666667,7.30833333333333,5.2125,3.00833333333333,3.92916666666667,9.08333333333333,1.59166666666667,1.18333333333333,4.41666666666667,10.5625,5.25833333333333,8.5,1.25,2.47083333333333,2014-01-05
"6",5.7875,20.1958333333333,7.35833333333333,2.89166666666667,1.96666666666667,2.20833333333333,11.9958333333333,1.92083333333333,1.42916666666667,4.65833333333333,14.4875,6.125,3.34166666666667,0.543478260869565,6.19583333333333,2014-01-06
"7",4.29166666666667,8.32083333333333,6.86666666666667,12.2083333333333,1.65833333333333,4.09545454545455,5.25652173913043,1.30416666666667,1.27916666666667,4.04583333333333,4.41666666666667,12.7958333333333,5.575,0.925,11.3125,2014-01-07
"8",4.525,6.2125,6.20833333333333,5.85416666666667,2.7625,8.725,4.275,1.78333333333333,1.50454545454545,3.95833333333333,7.26666666666667,8.46666666666667,2.90952380952381,0.766666666666667,2.99166666666667,2014-01-08
"9",3.70833333333333,13.025,5.5625,2.25,9.0875,2.6625,6.36666666666667,1.7125,2.95833333333333,1.70833333333333,8.04583333333333,4.45,6.82083333333333,0.691666666666667,3,2014-01-09
"10",4.86666666666667,23.7166666666667,9.52083333333333,4.10952380952381,6.47916666666667,3.82916666666667,11.3291666666667,3.16666666666667,3.34166666666667,2.69166666666667,14.1708333333333,5.04166666666667,9.7375,2.13333333333333,5.80416666666667,2014-01-10
"11",2.66666666666667,7.29583333333333,6.47916666666667,1.32083333333333,1.37916666666667,1.97916666666667,5.28333333333333,3.12083333333333,1.28333333333333,2.19583333333333,9.97083333333333,2.65416666666667,3.5625,1.1625,3.03333333333333,2014-01-11
"12",1.42083333333333,4.11666666666667,6.1625,1.1875,2.70416666666667,3.72272727272727,4.47916666666667,1.79166666666667,2.45833333333333,1.15833333333333,5.4875,1.5625,2.09166666666667,1.76666666666667,1.725,2014-01-12
"13",2.52916666666667,6.37916666666667,4.05,2.35,5.09583333333333,2.9,4.86818181818182,2.74166666666667,2.94583333333333,2.9375,5.14583333333333,2.67083333333333,4.73333333333333,0.9625,2.69166666666667,2014-01-13
"14",3.35833333333333,8.89565217391304,4.47619047619048,2.3375,9.97083333333333,2.35,4.85416666666667,1.81666666666667,1.3,4.9375,6.67083333333333,3.43333333333333,6.44166666666667,1.35416666666667,2.975,2014-01-14
"15",5.13333333333333,9.69130434782609,6.575,2.59166666666667,5.9,3.24210526315789,6.49166666666667,2.55833333333333,2.13478260869565,2.34166666666667,10.4,5.10833333333333,4.54583333333333,0.8375,3.92083333333333,2014-01-15
"16",4.02083333333333,7.74166666666667,11.4458333333333,4.78333333333333,2.9625,5.65833333333333,8.10833333333333,4.00416666666667,0.95,2.5875,11.8875,8.82608695652174,5.61666666666667,1.64583333333333,8.64166666666667,2014-01-16
"17",5.46666666666667,8.525,10.2541666666667,3.88333333333333,2.43333333333333,1.56666666666667,7.1625,1.77083333333333,1.57083333333333,2.93333333333333,9.61666666666667,9.90416666666667,3.83333333333333,1.02083333333333,6.47916666666667,2014-01-17
"18",3.14166666666667,12.1458333333333,7.93333333333333,2.28333333333333,7.14583333333333,3.99583333333333,6.775,2.0625,0.879166666666667,2.84583333333333,5.87916666666667,3.8125,9.875,0.995833333333333,3.39583333333333,2014-01-18
"19",2.12916666666667,3.64583333333333,2.8375,5.05,1.7875,3.81666666666667,4.45833333333333,2.01666666666667,0.725,3.79166666666667,4.38333333333333,5.2125,1.98333333333333,0.570833333333333,2.97916666666667,2014-01-19
"20",2.58333333333333,7.27916666666667,5.775,1.09166666666667,3.24166666666667,2.32916666666667,4.775,2.65,1.20833333333333,2.225,5.89583333333333,3.45416666666667,2.14583333333333,1.41666666666667,2.80416666666667,2014-01-20
"21",3.225,11.8708333333333,6.42083333333333,3.21363636363636,7.68333333333333,4.18333333333333,5.67916666666667,1.75416666666667,0.620833333333333,2.54583333333333,6.14583333333333,3.2125,8.34166666666667,2.95416666666667,3.89166666666667,2014-01-21
"22",4.5,16.2173913043478,6.46666666666667,2.68636363636364,10.1833333333333,3.5875,7.11666666666667,3.3375,0.5625,2.46666666666667,8.875,3.55,9.17083333333333,2.37916666666667,3.89583333333333,2014-01-22
"23",5.56666666666667,8.72916666666667,11.5375,10.4583333333333,2.4875,6.60416666666667,16.8166666666667,1.57272727272727,0.358333333333333,2.78333333333333,20.4416666666667,10.1833333333333,6.69583333333333,1.7625,8.2375,2014-01-23
