"","date","wday","urticaria","allergy","yday","SO2","CO","O3","PM2.5","PM10","NO","NO2","TEMP","RH","RAIN","WS_HR","urticaria_M","urticaria_F","allergy_M","allergy_F","urticaria_20","urticaria_30","urticaria_50","urticaria_65","allergy_20","allergy_30","allergy_50","allergy_65"
"1",2014-01-02,4,2,5,1,7.44861111111111,0.901319444444444,29.6034722222222,60.7430555555556,98.7604166666667,10.196875,30.9840277777778,19.5138888888889,67.625,0,1.03333333333333,2,0,1,4,1,0,0,1,0,1,4,0
"2",2014-01-03,5,4,4,2,5.65729166666667,0.834479166666667,35.3527777777778,51.1393417874396,89.0067934782609,7.81160929951691,30.7839962121212,21.3298611111111,64.0694444444444,0,1.03055555555556,2,2,0,4,1,2,1,0,0,4,0,0
"5",2014-01-06,1,2,3,5,9.16666666666667,1.07260416666667,33.4395833333333,113.885416666667,176.836805555556,6.10208333333333,34.5447916666667,18.5763888888889,64.9965277777778,0,1.07013888888889,1,1,1,2,0,0,1,1,0,1,0,2
"6",2014-01-07,2,5,5,6,8.10520833333333,0.952380736714976,35.9947916666667,85.6921799516908,136.988979468599,7.26770833333333,34.715625,19.8298611111111,60.4513888888889,0,0.964930555555556,1,4,1,4,0,3,1,1,0,4,1,0
"7",2014-01-08,3,1,0,7,7.87737016908213,0.923023852657005,43.850422705314,72.7484903381642,120.298520531401,6.73697024593764,35.2879744651484,20.6527777777778,64.3194444444444,0,1.09409722222222,0,1,0,0,0,1,0,0,0,0,0,0
"8",2014-01-09,4,0,3,8,5.90628019323672,0.668645833333333,36.9812801932367,58.5836352657005,107.028903162055,5.34627976190476,27.1601686507937,21.7465277777778,65.8194444444444,0,1.35763888888889,0,0,0,3,0,0,0,0,0,1,1,1
"9",2014-01-10,5,3,3,9,5.74583333333333,0.625381944444444,21.7538194444444,41.5681406455863,92.2621459156785,5.55729166666667,26.0097222222222,17.90625,69.2534722222222,0,1.22916666666667,2,1,0,3,0,0,1,2,0,3,0,0
"12",2014-01-13,1,2,2,12,4.92771464646465,0.504772727272727,32.8068181818182,51.5236742424242,100.093434343434,2.98488005050505,20.1835858585859,19.5918560606061,73.8734217171717,0,1.23570075757576,1,1,1,1,0,0,0,2,0,1,1,0
"13",2014-01-14,2,7,8,13,4.18090277777778,0.524201388888889,26.0447916666667,36.1920289855072,81.1428140096618,3.86262626262626,21.0131271958718,18.1770833333333,71.3402777777778,0,1.24548611111111,0,7,2,6,0,5,1,1,0,6,1,1
"14",2014-01-15,3,0,0,14,5.08981625258799,0.594776785714286,18.4404158040028,37.5023291925466,86.7166796066253,5.05841744306418,23.2453463203463,16.9325396825397,71.6712172187716,0,1.2134899068323,0,0,0,0,0,0,0,0,0,0,0,0
"15",2014-01-16,4,2,7,15,5.59639747012459,0.527585653445207,28.624269005848,31.6618083003953,99.3050569096765,5.49514524535978,23.9062134502924,16.7253686753115,69.2351020213577,0,1.23336193745233,1,1,2,5,0,1,0,1,1,2,1,3
"16",2014-01-17,5,3,4,16,6.51458333333333,0.591493055555556,31.0465277777778,32.4413702239789,85.1800340360123,6.85668780193237,27.2542874396135,17.8854166666667,64.1944444444444,0,1.21041666666667,0,3,0,4,0,1,0,2,0,3,0,1
"19",2014-01-20,1,6,2,19,6.17430555555556,0.655208333333333,41.0538194444444,81.0277777777778,135.041666666667,3.50625,21.9170138888889,16.0243055555556,61.6458333333333,0,1.25590277777778,0,6,0,2,0,4,1,1,0,2,0,0
"20",2014-01-21,2,7,9,20,5.45347222222222,0.556319444444444,36.0295138888889,49.5771437198068,171.687211791831,3.63333333333333,22.5190972222222,17.4305555555556,61.3715277777778,0,1.21180555555556,0,7,1,8,0,3,0,4,1,4,2,2
"21",2014-01-22,3,0,0,21,6.98583937198068,0.65524154589372,21.5211805555556,61.0277777777778,146.538194444444,5.5344696969697,28.0186086407554,15.4409722222222,63.2881944444444,0.1,1.14409722222222,0,0,0,0,0,0,0,0,0,0,0,0
"22",2014-01-23,4,5,13,22,7.41496074879227,0.570360809178744,26.7912288647343,43.3370525911287,119.143019872639,6.55968791172596,28.2079924242424,14.2572916666667,57.0694444444444,0,1.17256944444444,1,4,4,9,0,2,1,2,0,5,6,2
"23",2014-01-24,5,2,5,23,6.06805555555556,0.608055555555556,31.990625,38.9270833333333,87.1284722222222,9.21180555555556,27.5278985507246,15.7743055555556,60.4652777777778,0,1.15902777777778,0,2,3,2,0,2,0,0,0,3,0,2
"26",2014-01-27,1,4,3,26,6.46388888888889,0.5715625,37.1513888888889,39.7638888888889,89.0729166666667,3.80590277777778,24.5069444444444,20.1666666666667,53.7534722222222,0,1.18229166666667,1,3,0,3,0,3,0,1,0,1,2,0
"27",2014-01-28,2,1,12,27,6.46597222222222,0.688576388888889,31.4993055555556,271.570781573499,118.612167874396,6.57604166666667,28.6670138888889,18.2013888888889,70.2013888888889,0,1.19513888888889,0,1,3,9,0,0,1,0,1,5,4,2
"28",2014-01-29,3,0,0,28,5.44258207070707,0.678159722222222,36.3346906565657,368.478310813265,97.6573542097999,6.84946338383838,28.0813446969697,19.5609217171717,71.8244949494949,0,1.15760732323232,0,0,0,0,0,0,0,0,0,0,0,0
"29",2014-01-30,4,0,0,29,5.13645833333333,0.729305555555556,41.440625,52.9447463768116,100.057888669302,4.69375,27.9995265151515,20.3368055555556,70.3576388888889,0,1.20034722222222,0,0,0,0,0,0,0,0,0,0,0,0
"30",2014-01-31,5,0,0,30,6.79305555555556,0.880694444444444,54.4722222222222,68.0763888888889,112.645833333333,3.19930555555556,27.8277777777778,21.1458333333333,66.6111111111111,0,1.09375,0,0,0,0,0,0,0,0,0,0,0,0
"33",2014-02-03,1,0,0,33,4.41006944444444,0.505625,36.0659722222222,33.6145833333333,58.1319444444444,2.078125,18.9739583333333,23.7604166666667,62.0625,0.4,1.11006944444444,0,0,0,0,0,0,0,0,0,0,0,0
"34",2014-02-04,2,10,10,34,3.88506944444444,0.3725,28.5545138888889,22.2291666666667,44.1736111111111,1.95555555555556,14.2118055555556,24.1145833333333,76.2118055555556,0.32,1.46388888888889,1,9,4,5,0,5,2,3,0,8,0,2
